Add JavaDoc element	Adicionar elemento JavaDoc	
Add JDBC Driver	Adicionar driver JDBC	
Add JDBC driver dialog.	Adicionar caixa de diálogo de driver JDBC	
Add JSP Property Group...	Adicionar grupo de propriedades JSP	
Add Key	Adicionar chave	
Add Keybinding	Adicionar associação de teclas	
Add Library	Adicionar biblioteca	
Add Library button	Botão Adicionar biblioteca	
Add Local Directory	Adicionar diretório local	
Add Locale	Adicionar localidade	
Add Managed Bean Dialog	Adicionar caixa de diálogo ao Bean gerenciado	
Add Managed Bean...	Adicionar Bean gerenciado	
Add Mobile Platforms	Adicionar plataformas móveis	
Add Mode	Adicionar modo	
Add Module Dependency	Adicionar dependência de módulo	
Add Module...	Adicionar módulo...	
Add Navigation Case...	Adicionar caso de navegação...	
Add Navigation Rule Dialog	Adicionar caixa de diálogo Regra de navegação	
Add Navigation Rule...	Adicionar regra de navegação...	
Add NetBeans Platform	Adicionar plataforma NetBeans	
Add New Annotation Type	Adicionar novo tipo de anotação	
Add New Category	Adicionar nova categoria	
Add New Class	Adicionar nova classe	
Add New Constant	Adicionar nova constante	
Add New Constructor	Adicionar novo construtor	
Add New Enumeration	Adicionar nova enumeração	
Add New Field	Adicionar novo campo	
Add New Friend Module	Adicionar novo módulo Friend	
Add New Inner Class	Adicionar nova classe interna	
Add New Inner Enumeration	Adicionar nova enumeração interna	
Add New Inner Interface	Adicionar nova interface interna	
Add New Interface	Adicionar nova interface	
Add New Method	Adicionar novo método	
Add Newline Before Brace	Adicionar nova linha antes da chave	
Add Operation...	Adicionar operação	
Add Package Folder	Adicionar pasta de pacote	
Add Pair	Adicionar par	
Add Parameter	Adicionar parâmetro	
Add Permission for API	Adicionar permissão para API	
Add Platform	Adicionar plataforma	
Add Port Info	Adicionar informação da porta	
Add Principal	Adicionar principal	
Add Procedure ...	Adicionar procedimento	
Add Project	Adicionar projeto	
Add Project Button	Botão Adicionar projeto	
Add Project JAR Files	Adicionar arquivos JAR de projeto	
Add Property	Adicionar propriedade	
Add Resource Reference	Adicionar referência de recurso	
Add Row	Adicionar linha	
Add Select Method...	Adicionar método Select	
Add Separator	Adicionar separador	
Add Server	Adicionar servidor	
Add Server Button	Botão Adicionar servidor	
Add Server Instance	Adicionar instância de servidor	
Add Server Panel	Adicionar painel de servidor	
Add Servlet Element...	Adicionar elemento Servlet...	
Add Shortcut	Adicionar atalho	
Add Shortcut Dialog	Caixa de diálogo Adicionar atalho	
Add Source Folder	Adicionar pasta de código-fonte	
Add Source(s)	Adicionar códigos-fonte	
Add Space Before Parentheses	Adicionar espaço antes de parênteses	
Add Struts TLDs	Adicionar TLDs do Struts	
Add Template	Adicionar modelo	
Add Test Folder	Adicionar pasta de teste	
Add to Favorites	Adicionar aos Favoritos	
Add to Index	Adicionar ao índice	
Add to index dialog	Adicionar à caixa de diálogo do índice	
Add to Local Interface	Adicionar à interface local	
Add to Menu	Adicionar ao menu	
Add to Module Suite	Adicionar à suite de módulos	
Add to Remote Interface	Adicionar à interface remota	
Add to Toolbar	Adicionar a barra de ferramentas	
Add URL	Adicionar URL	
Add URL with JavaDoc	Adicionar URL com JavaDoc	
Add View	Adicionar visualização	
Add view dialog	Caixa de diálogo de adição de visualização	
Add Web Service	Adicionar serviço Web	
Add Web Service Group	Adicionar grupo de serviços Web	
Add Web Service Reference	Adicionar referência do serviço Web	
Added	Adicionado	
Adding deployment descriptor entries...	Adicionando entradas ao descritor de deployment	
Additional changes in	Alterações adicionais em	
Additional Compiler Options:	Opções adicionais de compilação:	
Additional Configuration	Configuração adicional	
Additional Properties	Propriedades adicionais	
Admin	Admin	
Admin JMX Port	Porta Admin JMX	
Admin Object Resource	Recurso de objeto Admin	
Admin Password	Senha Admin	
Admin Password of server	Senha Admin do servidor	
Admin Port of server	Porta Admin do servidor	
Admin Port:	Porta Admin:	
Admin User Name	Nome do usuário Admin	
Advanced	Avançado	
Advanced Commands	Comandos avançados	
Advanced Options	Opções avançadas	
Advanced Settings ...	Configurações avançadas	
Advanced Wizard	Assistente avançado	
Agent	Agente	
Aggregate	Agregar	
Alias Password:	Senha de alias	
Alias	Alias	
Align	Alinhar	
Align Down in Row	Alinhar abaixo na linha	
Align Left in Column	Alinhar à esquerda na coluna	
Align Right in Column	Alinhar à direita na coluna	
Align Up in Row	Alinhar acima na linha	
Alignment	Alinhamento	
All +1	Tudo +1	
All DTD actions	Todas as ações DTD	
All Files	Todos os arquivos	
All in One	Tudo em um	
All Languages	Todas as linguagens	
All Projects	Todos os projetos	
All Records	Todos os registros	
All registered annotation types	Todos os tipos de anotações registradas	
All Results	Todos os resultados	
All Templates...	Todos os modelos...	
All Threads	Todos os segmentos	
All XML actions	Todas as ações XML	
Allocated Objects	Objetos alocados	
Allow editing	Permitir edição	
Allow floating point	Permitir ponto flutuante	
Allow Timeout Interrupt	Permitir interrupção do tempo de espera	
Allowed	Permitido	
Alphabetically	Alfabeticamente	
Already prepared module	Módulo já preparado	
Already used package folders:	Diretórios de pacotes utilizados atualmente	
Alternate text	Texto alternativo	
Always	Sempre	
Always Accept	Sempre aceitar	
Always Enabled (use CallableSystemAction)	Sempre habilitado (usar CallableSystemAction)	
Always Show Glyph Margin	Sempre exibir margem do ícone	
Always Show Output	Sempre exibir saída	
Analyze Memory Usage	Analisar uso da memória	
Analyze Performance	Analisar performance	
Anchor	Ancorar	
and	E	
And operator	Operador E	
Annotation	Anotação	
Annotation Type	Tipo de anotação	
Annotation Type Method	Método de tipo de anotação	
Annotations Cycling	Ciclo de anotações	
Anonymous Ant Project	Projeto de Ant anônimo	
Anonymous Inner Classes	Classes internas anônimas	
Ant Build Errors	Erros de construções do Ant	
Ant Build Scripts	Scripts de construção do Ant	
Ant Code Completion	Completar de código do Ant	
Ant Debugger	Depurador do Ant	
Ant Execution	Execução do Ant	
Ant Module Settings	Configurações do módulo Ant	
Ant Project	Projeto Ant	
Ant Script Identifier	Indentificador de script Ant	
Ant Scripts	Scripts do Ant	
Ant Settings	Configurações do Ant	
Ant Target	Alvo do Ant	
Ant-Based Project Support	Suporte para projetos baseados no Ant	
Antialiasing:	Antialiasing	
Any Declaration Node Type	Qualquer tipo de nó de declaração	
Any Digit	Qualquer dígito	
Any hexa digit character	Qualquer dígito hexadecimal	
Any Host	Qualquer host	
Any Letter	Qualquer letra	
Any lower case letter	Qualquer letra minúscula	
Any Node Type	Qualquer tipo de nó	
Any Parent Node Type	Qualquer tipo de nó pai	
Any Reference Node Type	Qualquer tipo de nó de referência	
Any upper case letter	Qualquer letra maiúscula	
API Package:	Pacote API:	
API Permission Customizer	Personalizador de permissões API	
API Permissions	Permissões de APIs	
API Versioning	Versionamento de APIs	
API Versions	Versões da API	
App Client Module	Módulo cliente App	
Apple Application Menu	Menu de aplicativo Apple	
Applet	Applet	
Applet Form	Formulário Applet	
Applet HTML Page	Página Applet HTML	
Application	Aplicativo	
Application and Web Servers	Aplicativo e servidores Web	
Application Clients	Clientes do aplicativo	
Application Descriptor	Descritor de aplicativos	
Application Finished	Aplicativo concluido	
Application Icon (48x48)	Ícone do aplicativo (48x48)	
Application Resource:	Recurso do aplicativo	
Application Server Instances list	Lista de instâncias do servidor do aplicativo	
Application Server Not Running	Servidor do aplicativo não está em execução	
Application Server Properties	Propriedades do servidor do aplicativo	
Application Server Vendor	Fornecedor do servidor do aplicativo	
Application Server's Admin Password	Senha Admin do servidor do aplicativo	
Application Startup	Inicialização do aplicativo	
Application Title	Título do aplicativo	
Apply	Aplicar	
Apply Changes	Aplicar alterações	
Apply Code Changes	Aplicar alterações do código	
Apply Default Action	Aplicar ação padrão	
Apply Diff Patch...	Aplicar patch de comparação...	
Apply Grid to Position	Aplicar grade à posição	
Apply Grid to Size	Aplicar grade ao tamanho	
Apply New Filter	Aplicar novo filtro	
Apply Rename on Comments	Renomear comentários	
Apply to:	Aplicar a:	
Arabic numbers	Números arábicos	
Architecture Description	Descrição de arquitetura	
Archive File Name:	Nome do arquivo compactado:	
Archive Files (*.jar, *.zip)	Arquivos compactados  (*.jar, *.zip)	
Archive Item	Arquivar item	
Argument	Argumento	
Argument Key	Chave do argumento	
Array of	Matriz de	
Array Property	Propriedade de matriz	
As a Last Tab	Como última aba	
As Context	Como contexto	
Ascending	Ascendente	
Ask Before Check	Perguntar antes de verificar	
Assigned Commands	Comandos atribuídos	
Assigned Item Commands	Comandos de itens atribuídos	
Assignment	Atribuição	
Assignment operator	Operador de atribuição	
AT Keyword	Palavra-chave AT	
Attach	Anexar	
Attach Debugger	Anexar depurador	
Attach Directory	Anexar diretório	
Attach Profiler	Anexar Profiler	
Attach Wizard	Anexar assistente	
Attaching Debugger	Anexando depurador	
Attaching...	Anexando...	
Attlist Declaration Node Type	Tipo de nó da declaração da lista de atributos (Attlist)	
Attribute	Atributo	
Attribute Declaration Default Value	Valor padrão da declaração de atributo	
Attribute Declaration Element Name	Nome do elemento de declaração do atributo	
Attribute declaration name	Nome de declaração do atributo	
Attribute Defs	Definições do atributo	
Attribute List	Lista de atributos	
Attribute Name	Nome do atributo	
Attribute Node Type	Tipo de nó de atributo	
Attribute Type	Tipo do atributo	
Attribute Value	Valor do atributo	
Attribute Whitespace	Atributo whitespace	
Auth Method	Método de autenticação	
Authentication	Autenticação	
Authentication in progress	Autenticação em progresso	
Authentication Method	Método de autenticação	
Author of the Change	Autor da alteração	
Author	Autor	
Auto	Automático	 
Auto Comment Panel	Painel de comentário automático	
Auto Comment Tool	Ferramenta de comentário automático	
Auto Comment...	Comentário automático	
Auto Correct	Correção automática	
Auto Popup Completion Window	Janela instantânea de auto-completar	
Auto Popup Javadoc Window	Janela Javadoc automática instantânea	
Auto Popup:	Pop-up automático	
Auto Resizing	Auto redimensionamento	
Auto Update	Atualização automática	
Auto Update Notification	Notificação de atualização automática	
Auto-completion	Auto-completar	
Auto-completion with AJAX	Auto-completar com AJAX	
Autoload	Autocarga	
Autoloaded	Autocarregado	
Automatic	Automático	
Automatic Check Configuration	Configuração da verificação automática	
Automatic integration failed	Integração automática falhou	
Automatic integration performed successfuly	Integração automática executada com sucesso	
Automatic Parsing Delay	Atraso de análise automático	
Automatic Update Check	Verificação automática de atualizações	
Automatically Generate Necessary Tables	Gerar tabelas necessárias automaticamente	
Autoupdate Types	Tipos de atualizações automáticas	
Availability Enabled	Disponibilidade ativada	
Available Borders	Bordas disponíveis	
Available Columns	Colunas disponíveis	
Available columns combo box	Seleção de colunas disponíveis	
Available Components	Componentes disponíveis	
Available Directives	Diretivas disponíveis	
Available Items	Itens disponíveis	
Available Libraries	Bibliotecas disponíveis	
Available Options	Opções disponíveis	
Available Tables	Tabelas disponíveis	
Available Version	Versão disponível	
Available Web Services	Serviços Web disponíveis	
AWT Forms	Formulários AWT	
AWT Palette	Paleta AWT	
Axis	Eixo	
Back	Voltar	
Back	Anterior	
Background	Segundo plano	
Background Chooser	Seletor de segundo plano	
Bad Argument	Argumento incorreto	
Bad Download	Download incorreto	
Bad Pattern	Padrão incorreto	
Badly formed URL	URL mal formada	
Basic	Básico	
Basic infrastructure for tasklists	Infra-estrutura básica para lista de tarefas	
Basic Module configuration	Configuração básica de módulos	
Basic Options	Opções básicas	
Basic setting	Configuração básica	
Basic Settings	Configurações básicas	
Basic shared debugger UI	Interface gráfica básica do depurador compartilhada	
Basic Telemetry	Telemetria básica	
Basic Utilities API	API básica de utilitários	
Batch updates	Atualizações em lote	
Bean A	Bean A	
Bean B	Bean B	
Bean Cache	Cache Bean	
Bean Class	Classe do Bean	
Bean Description	Descrição do Bean	
Bean Details	Detalhes do Bean	
Bean Environment	Ambiente do Bean	
Bean Form	Formulário do Bean	
Bean Implementation	Implementação do Bean	
Bean Name	Nome do Bean	
Bean Patterns	Padrões Bean	
Bean Pool	Grupo Bean	
BeanInfo Editor	Editor de BeanInfo	
BeanInfo w/o Icon	BeanInfo sem ícone	
Beans Property	Propriedade do Bean	
Beep	Aviso sonoro	
Begin	Início	
Begin Line:	Linha de início	
Begins with	Começa por	
Below Bottom	Abaixo da parte inferior	
Below Top	Abaixo da parte superior	
Best row identifier query	Melhor consulta de identificador de linha	
Bildfile dialog	Caixa de diálogo do bildfile	
Binary	Binário	
Binary File Detected	Arquivo binário detectado	
Black	Preto	
Block (multi-line) comment	Comentário em bloco (múltiplas linhas)	
Block Comment	Comentário em bloco	
Blue	Azul	
BluePrints in NetBeans IDE	BluePrints no IDE NetBeans	
BluePrints Panel	Painel BluePrints	
Bluetooth Example	Exemplo Bluetooth	
Body Content:	Conteúdo do corpo	
Bold	Negrito	
Bold Italic	Negrito e itálico	
Bold Status Bar	Barra de status em negrito	
Bookmark	Marcador	
Boot Classpath	Classpath de inicialização	
Bootstrap	Bootstrap	
Bootstrap Libraries	Bibliotecas Bootstrap	
Border	Borda	
Border Editor	Editor de borda	
Border size	Tamanho da borda	
Bottom +1	Baixo +1	
Bottom to Row	Inferior da linha	
Bound	Vinculado	
Branch	Branch	
Branch browser	Navegador de Branch	
Branch Files	Arquivos Branch	
Branch Name	Nome de Branch	
Branches	Branches	
Branches and Tags:	Branches e tags	
Branching	Branching	
Branching Files	Branching de arquivos	
Branding Name	Nome de marca	
Breakpoint	Ponto de interrupção	
Breakpoint Set On:	Definir ponto de interrupção sobre:	
Breakpoint thread	Thread do ponto de interrupção	
Breakpoint Type:	Tipo do ponto de interrupção	
Breakpoints View	Visualização do ponto de interrupção	
Bridges	Pontes	
Broken Connection	Conexão interrompida	
Broken Link	Link quebrado	
Broken Link Filesystem	Link para sistema de arquivos quebrado	
Broken Platform	Plataforma quebrada	
Broken Platform Reference	Referência da plataforma quebrada	
Broken References Customizer	Personalizador de referências inválidas	
Broken References Panel	Painel de referências inválidas	
Broken Servers Panel	Painel de servidores quebrados	
Browse	Procurar	
Browse Button	Botão Procurar	
Browse CVS Module	Procurar módulo CVS	
Browse Directories	Procurar diretórios	
Browse Files	Procurar arquivos	
Browse Files Dialog	Caixa Procurar arquivos	
Browse Folder to Import	Procurar pasta a importar	
Browse Folders	Pesquisar pastas	
Browse Folders Dialog	Caixa de diálogo Pesquisar pastas	
Browse for an action	Procurar uma ação	
Browse for icon	Procurar ícone	
Browse from current point	Navegar a partir do ponto atual	
Browse from root	Navegar a partir da raiz	
Browse from View	Navegar a partir da visualização	
Browse JAR or Folder	Procurar JAR ou pastas	
Browse JAR/Folder	Procurar JAR/pasta	
Browse Java classes	Procurar classes Java	
Browse JSP file	Procurar arquivo JSP	
Browse Libraries jars	Procurar JARs de bibliotecas	
Browse License file	Procurar arquivo de licença	
Browse Local Folder	Procurar pasta local	
Browse Main Classes	Procurar classes principais	
Browse New Project Folder	Examinar novo diretório de projeto	
Browse Primary Key Button	Botão  Procurar chave primária	
Browse Project button	Botão Procurar projeto	
Browse Project Location	Procurar localização do projeto	
Browse Repository Folder	Procurar pasta do repositório	
Browse resource files	Procurar arquivos de recurso	
Browse Source Package Folder	Procurar pasta do pacote de código-fonte	
Browse Suite	Procurar suite	
Browse Tags	Procurar tags	
Browse Test Package Folder	Procurar pasta de pacote de teste	
Browse the images	Procurar imagens	
Browse the rules	Procurar regras	
Browse Working Directory	Navegar no diretório de trabalho	
Browser activation timeout	Tempo expirado na ativação do navegador	
Browser Description	Descrição do Navegador	
Browser Executable	Navegador executável	
Browser View	Visualização do navegador	
Browser Window Title:	Título da janela do Navegador	
Browses BluePrints Solutions Catalog	Navegação pelo catálogo de soluções BluePrints	
Buffer size:	Tamanho do buffer	
Build	Construir	
Build All	Construir tudo	
Build and Run	Construir e executar	
Build and Run Actions	Ações de construir e executar	
Build file name	Construir nome de arquivo	
Build Functional Tests	Construir testes funcionais	
Build JNLP Application	Construir aplicativo JNLP	
Build Main Project	Construir projeto principal	
Build Number	Número da compilação	
Build Performance Tests	Construir testes de performance	
Build Popup Menu	Construir menu pop-up	
Build Project	Construir projeto	
Build Projects on Classpath	Construir projetos no classpath	
Build Script	Script de construção	
Build Tool Tip	Construir dica	
Build with Dependencies	Construir com dependências	
Build ZIP Distribution	Construir distribuição ZIP	
Buildfile dialog	Caixa de diálogo Buildfile	
Building	Construção	
Building storage	Construindo armazenamento	
Built-in Diff Engine	Mecanismo de comparação embutido	
Built-in Diff Service	Serviço de comparação embutido	
Bundle cannot be empty	Bundle não pode estar vazio	
Bundle Init Format	Formato inicial para Bundle	
Bundle Key	Chave do pacote	
Bundle Name	Nome do pacote	
Bundled Libraries and Resources:	Bibliotecas e recursos embutidos	
Bundled Tomcat (5.5.9)	Tomcat (5.5.9) embutido	
Bundled Tomcat 5 Server	Servidor Tomcat 5 embutido	
Bundles JGoodies FormLayout	Pacotes JGoodies FormLayout	
Bundles JSch (SSH implementation)	Pacotes Jsch (implementação SSH)	
Bundles swing-layout library	Pacotes da biblioteca swing-layout	
Business Method	Método de negócio	
Button	Botão	
Button Object Name	Nome do objeto botão	
Button selecting local file	Botão selecionando o arquivo local	
Button Type	Tipo de botão	
By Category	Por categoria	
By Code Name	Por nome de código	
By Enabled Status	Por situação de ativo	
By File Size	Por tamanho de arquivo	
By Filename Extension	Por extensão de nome de arquivo	
By JAR File	Por arquivo JAR	
By Modification Time	Por hora de modificação	
By Name	Por nome	
By Name (Packages First)	Por nome (pacotes primeiro)	
By Type	Por tipo	
By XML Root Element	Por elemento raiz XML	
Cache	Cache	
Cache Enabled	Cache ativado	
Cache General	Cache geral	
Cache Helper	Assistente de cache	
Cache Helper Name	Nome de assistente do cache	
Cache Helper Properties	Propriedades de assistente do cache	
Cache Helper Property	Propriedade de assistente do cache	
Cache Helper Reference	Referência de assistente do cache	
Cache Helper Selector	Seletor de assistente do cache	
Cache Helpers	Assistentes do cache	
Cache Mapping Table	Tabela de mapeamento do cache	
Cache Mappings	Mapeamentos do cache	
Cache on Match	Cache coincidente	
Cache on Match Failure	Falha no cache coincidente	
Cache Policy	Política do cache	
Cache Policy Definition	Definição da política do cache	
Cache Policy Editor	Editor da política do cache	
Cache Properties	Propriedades do cache	
Cache Property	Propriedade do cache	
Cache Reference	Referência do cache	
Cache Settings	Configurações do cache	
Cache Target	Cache destino	
Caching Policy	Política para o cache	
Caching Service Locator	Cache para Service Locator	
Calibration performed successfully	Calibração executada com sucesso	
Call	Chamada	
Call Action	Chamar ação	
Call EJB Panel	Painel de chamada EJB	
Call Enterprise Bean	Chamar Enterprise Bean	
Call Properties	Propriedades da chamada	
Call Property	Propriedade da chamada	
Call Resource File	Chamar arquivo de recurso	
Call Site	Local de chamada	
Call Stack	Pilha de chamadas	
Call Stack Line	Linha da pilha de chamadas	
Call Stack View	Visualização da pilha de chamadas	
Call Tree	Árvore de chamadas	
Call Tree - Class	Árvore de chamadas – Classe	
Call Tree - Method	Árvore de chamadas – Método	
Call Tree - Package	Árvore de chamadas – Pacote	
Call Web Service Operation	Operação de chamada a serviço web	
Caller Propagation	Propagação do chamador	
Calls	Chamadas	
Cancel	Cancelar	
Cancel branching	Cancelar branching	
Cancel Button	Botão Cancelar	
Cancel changes	Cancelar alterações	
Cancel commit	Cancelar submissão	
Cancel connecting	Cancelar conexão	
Cancel merge	Cancelar mesclagem	
Cancel Process	Cancelar processo	
Cancel Running Task	Cancelar tarefa em execução	
Cancel Servlet	Cancelar servlet	
Cancellable Task	Tarefa cancelável	
Cannot access requested resource.	Não é possível acessar o recurso solicitado.	
Cannot access specified repository.	Não é possível acessar o repositório especificado.	
Cannot add cyclic references.	Não é possível adicionar referências cíclicas.	
Cannot generate CSS.	Não foi possível gerar o CSS.	
Cannot generate doclet.	Não foi possível gerar o doclet.	
Cannot instantiate gui	Não é possível instanciar gui.	
Cannot merge given TreeObjects.	Não é possível mesclar o Treeobjects.	
Cannot merge with null.	Não é possível mesclar com nulo.	
Cannot Navigate.	Não é possível navegar.	
Cannot nest brace-evaluation declaration	Não é possível aninhar a declaração brace-evaluation.	
Cannot read CVS/Repository	Não é possível ler o CVS/repositório.	
Cannot read CVS/Root	Não é possível ler CVS/raiz	
Cannot read DefaultAttributes.	Não é possível ler DefaultAttributes.	
Cannot retrieve monitor data.	Não foi possível recuperar dados do monitor.	
Cannot save new ordering.	Não é possível salvar nova ordem.	
Cannot Write to File	Não é possível escrever no arquivo.	
Canonical Name	Nome canônico	
Canonical Name and Aliases	Nome canônico e apelidos	
Capitalize username	Nome de usuário em maiúsculas	
Capture Database Schema ...	Capturar esquema do banco de dados...	
Capturing schema:	Esquema de captura:	
Card Name	Nome de cartão	
Card name in CardLayout	Nome do cartão em CardLayout	
Cardinality	Cardinalidade	
Caret	Cursor	
Caret Color	Cor do cursor	
Caret Position	Posição do cursor	
Cascade	Cascata	
Cascade Delete	Excluir em cascata	
Cascading Style Sheet	Folha de estilo em cascata	
Case Sensitive	Distinção de maiúsculas/minúsculas	
Case Sensitive Code Completion	Auto-completar de código com distinção de maiúsculas/minúsculas	
Case Sensitive Search	Pesquisa com distinção de maiúsculas/minúsculas	
Catalina Base:	Catalina Base	
Catalina Home:	Catalina Home	
Catalina Script:	Script Catalina	
Catalog	Catálogo	
Catalog at start	Catálogo no início	
Catalog Description	Descrição do catálogo	
Catalog Files	Arquivos do catálogo	
Catalog Info	Informações do catálogo	
Catalog Name	Nome do catálogo	
Catalog refreshed	Catálogo atualizado	
Catalog Separator	Separador de catálogo	
Catalog Term	Termo do catálogo	
Catalog Type:	Tipo de catálogo	
Catalog URL:	URL de catálogo	
Catalogs in DML	Catálogos em DML	
Catalogs in index definitions	Catálogos em definições de índices	
Catalogs in privilege definitions	Catálogos em definições de privilégios	
Catalogs in procedure calls	Catálogos em chamadas de procedimentos	
Catalogs in table definitions	Catálogos em definições de tabelas	
Catalogs query	Consulta de catálogos	
Catch List	Lista de catch	
Categories	Categorias	
Category	Categoria	
Category Description	Descrição de categoria	
Category is malformed.	Categoria está mal-formada.	
Category Usage	Utilização da categoria	
Caught	Capturado	
Caught or Uncaught	Capturado ou não capturado	
CDATA Section	Seção CDATA	
CDATA Section Data	Dados da seção CDATA	
CDATA Section Node Type	Tipo de nó da seção CDATA	
Cell Editor	Editor de células	
Cell Padding	Preenchimento de células	
Cell Spacing	Espacejamento de células	
Center	Centro	
Center	Centralizar	
Center	Central	
Center horizontally	Centralizar horizontalmente	
Center vertically	Centralizar verticalmente	
Certificate Agreement	Certificado de licença	
Certificate Details	Detalhes do certificado	
Certificate Dialog	Diálogo do certificado	
Certificate Fingerprints	Impressão digital do certificado	
Certificate Panel	Painel do certificado	
Certificate Text	Texto do certificado	
Change	Alterar	
Change Categories Order	Alterar a ordem das categorias	
Change Classes	Alterar classes	
Change horizontal resizability	Alterar redimensionamento horizontal	
Change implementation class	Alterar classe de implementação	
Change Items Order	Alterar a ordem dos itens	
Change Java Platform	Alterar plataforma Java	
Change keystroke	Alterar atalho de teclado	
Change Method Parameters	Alterar parâmetros do método	
